Crop,Waste_Type,Recommended_Product,Conversion_Efficiency(%),CO2_Savings(kg_per_ton),Market_Value(₹_per_ton),Energy_Output(MJ/kg),Processing_Time(days),Typical_Use_Case_Notes
Sugarcane,Bagasse,Animal Feed,64.63,163.11,3424.08,2.12,19,Bagasse from Sugarcane often used for animal feed in rural processors
Sugarcane,Sugarcane Trash,Compost,61.04,150.75,1553.07,1.05,8,Sugarcane Trash from Sugarcane often used for compost in rural processors
Groundnut,Groundnut Shell,Compost,80.62,80.91,3111.64,2.52,15,Groundnut Shell from Groundnut often used for compost in rural processors
Jute,Jute Leaves,Compost,67.54,94.31,2259.85,2.41,13,Jute Leaves from Jute often used for compost in rural processors
Jute,Jute Leaves,Compost,85.54,216.24,2257.07,1.84,19,Jute Leaves from Jute often used for compost in rural processors
Maize,Maize Stalk,Biogas,74.66,141.02,2926.04,5.32,4,Maize Stalk from Maize often used for biogas in rural processors
Banana,Banana Peel,Biogas,59.73,165.67,3184.58,9.45,8,Banana Peel from Banana often used for biogas in rural processors
Maize,Maize Cob,Animal Feed,77.22,94.27,2909.42,3.67,10,Maize Cob from Maize often used for animal feed in rural processors
Banana,Banana Stem,Compost,68.02,124.16,2035.48,0.58,8,Banana Stem from Banana often used for compost in rural processors
Jute,Jute Stick,Animal Feed,72.47,150.0,2142.89,5.42,6,Jute Stick from Jute often used for animal feed in rural processors
Banana,Banana Stem,Biofuel,89.24,163.86,6990.15,13.99,18,Banana Stem from Banana often used for biofuel in rural processors
Cotton,Cotton Stalk,Compost,90.14,102.4,2860.96,0.88,4,Cotton Stalk from Cotton often used for compost in rural processors
Groundnut,Groundnut Stover,Briquettes,91.9,314.22,6443.12,15.29,2,Groundnut Stover from Groundnut often used for briquettes in rural processors
Sugarcane,Sugarcane Trash,Briquettes,68.01,210.74,6815.26,14.35,10,Sugarcane Trash from Sugarcane often used for briquettes in rural processors
Rice,Paddy Straw,Briquettes,87.73,159.78,4495.66,15.08,7,Paddy Straw from Rice often used for briquettes in rural processors
Wheat,Wheat Chaff,Paper Pulp,70.49,299.38,5995.0,8.57,11,Wheat Chaff from Wheat often used for paper pulp in rural processors
Banana,Banana Peel,Compost,90.73,91.99,2471.98,2.87,4,Banana Peel from Banana often used for compost in rural processors
Rice,Paddy Straw,Biofuel,90.56,225.53,5426.38,11.65,8,Paddy Straw from Rice often used for biofuel in rural processors
Banana,Banana Stem,Biofuel,91.87,207.62,5070.3,16.5,5,Banana Stem from Banana often used for biofuel in rural processors
Banana,Banana Peel,Compost,71.83,112.22,1940.43,1.97,4,Banana Peel from Banana often used for compost in rural processors
Wheat,Wheat Straw,Compost,91.69,89.92,1976.01,2.65,17,Wheat Straw from Wheat often used for compost in rural processors
Banana,Banana Peel,Animal Feed,87.74,126.17,3683.09,3.86,15,Banana Peel from Banana often used for animal feed in rural processors
Banana,Banana Peel,Compost,83.06,137.55,3227.67,1.39,3,Banana Peel from Banana often used for compost in rural processors
Sugarcane,Bagasse,Paper Pulp,88.21,168.58,4074.77,7.8,19,Bagasse from Sugarcane often used for paper pulp in rural processors
Cotton,Cotton Stalk,Biofuel,69.95,294.9,3301.54,14.63,19,Cotton Stalk from Cotton often used for biofuel in rural processors
Sugarcane,Bagasse,Animal Feed,89.97,195.66,4023.28,5.18,9,Bagasse from Sugarcane often used for animal feed in rural processors
Rice,Rice Husk,Compost,76.85,206.34,1829.27,2.66,2,Rice Husk from Rice often used for compost in rural processors
Groundnut,Groundnut Stover,Biochar,89.83,293.25,6341.17,10.85,19,Groundnut Stover from Groundnut often used for biochar in rural processors
Cotton,Cotton Stalk,Biogas,60.38,204.25,3735.02,11.78,12,Cotton Stalk from Cotton often used for biogas in rural processors
Wheat,Wheat Straw,Biofuel,78.58,151.49,6843.12,18.53,4,Wheat Straw from Wheat often used for biofuel in rural processors
Rice,Paddy Straw,Compost,83.63,96.78,3280.57,1.09,9,Paddy Straw from Rice often used for compost in rural processors
Wheat,Wheat Straw,Biofuel,82.75,183.27,4043.06,15.65,12,Wheat Straw from Wheat often used for biofuel in rural processors
Banana,Banana Stem,Biofuel,68.53,211.44,6716.07,16.46,4,Banana Stem from Banana often used for biofuel in rural processors
Wheat,Wheat Chaff,Briquettes,91.96,134.65,3852.62,19.96,10,Wheat Chaff from Wheat often used for briquettes in rural processors
Rice,Rice Husk,Biofuel,88.74,151.55,6334.98,13.7,11,Rice Husk from Rice often used for biofuel in rural processors
Wheat,Wheat Chaff,Animal Feed,58.63,97.03,3935.31,5.39,19,Wheat Chaff from Wheat often used for animal feed in rural processors
Rice,Rice Husk,Biochar,82.98,184.79,5927.22,15.18,10,Rice Husk from Rice often used for biochar in rural processors
Cotton,Cotton Gin Waste,Biochar,61.93,322.46,3389.57,14.34,12,Cotton Gin Waste from Cotton often used for biochar in rural processors
Rice,Rice Husk,Briquettes,85.01,205.54,3038.68,15.52,4,Rice Husk from Rice often used for briquettes in rural processors
Rice,Paddy Straw,Briquettes,80.73,145.49,4233.03,11.48,3,Paddy Straw from Rice often used for briquettes in rural processors
Jute,Jute Stick,Animal Feed,63.73,169.22,3921.92,1.51,15,Jute Stick from Jute often used for animal feed in rural processors
Rice,Paddy Straw,Biogas,84.17,258.65,2079.32,10.68,12,Paddy Straw from Rice often used for biogas in rural processors
Groundnut,Groundnut Shell,Biochar,66.05,224.16,3366.52,15.01,17,Groundnut Shell from Groundnut often used for biochar in rural processors
Banana,Banana Peel,Biogas,62.24,256.84,2713.36,10.74,8,Banana Peel from Banana often used for biogas in rural processors
Groundnut,Groundnut Stover,Compost,90.25,119.08,2782.96,2.92,14,Groundnut Stover from Groundnut often used for compost in rural processors
Jute,Jute Stick,Biofuel,88.68,236.12,6934.2,12.61,3,Jute Stick from Jute often used for biofuel in rural processors
Sugarcane,Sugarcane Trash,Briquettes,84.67,241.24,5045.69,13.14,14,Sugarcane Trash from Sugarcane often used for briquettes in rural processors
Banana,Banana Stem,Compost,84.81,209.58,2576.9,0.5,8,Banana Stem from Banana often used for compost in rural processors
Jute,Jute Leaves,Compost,93.21,167.24,2826.77,2.8,5,Jute Leaves from Jute often used for compost in rural processors
Maize,Maize Stalk,Biofuel,73.81,230.88,3767.36,16.97,14,Maize Stalk from Maize often used for biofuel in rural processors
Rice,Rice Husk,Compost,79.18,120.17,2359.78,0.5,20,Rice Husk from Rice often used for compost in rural processors
Jute,Jute Leaves,Biogas,65.48,185.17,4883.78,6.5,7,Jute Leaves from Jute often used for biogas in rural processors
Sugarcane,Sugarcane Trash,Briquettes,67.52,166.97,4241.68,19.52,8,Sugarcane Trash from Sugarcane often used for briquettes in rural processors
Rice,Paddy Straw,Compost,68.57,198.96,1645.66,1.69,15,Paddy Straw from Rice often used for compost in rural processors
Banana,Banana Stem,Biofuel,75.79,257.52,6570.64,11.48,5,Banana Stem from Banana often used for biofuel in rural processors
Groundnut,Groundnut Shell,Briquettes,86.71,212.91,5229.62,16.96,5,Groundnut Shell from Groundnut often used for briquettes in rural processors
Cotton,Cotton Stalk,Biofuel,83.02,239.09,6800.16,19.88,16,Cotton Stalk from Cotton often used for biofuel in rural processors
Groundnut,Groundnut Stover,Biogas,76.03,146.65,2791.17,8.32,10,Groundnut Stover from Groundnut often used for biogas in rural processors
Cotton,Cotton Stalk,Briquettes,76.88,166.9,4343.39,17.14,19,Cotton Stalk from Cotton often used for briquettes in rural processors
Sugarcane,Bagasse,Biogas,58.09,227.16,2205.53,9.86,15,Bagasse from Sugarcane often used for biogas in rural processors
Jute,Jute Leaves,Biogas,52.18,170.11,4463.35,10.83,2,Jute Leaves from Jute often used for biogas in rural processors
Groundnut,Groundnut Stover,Biofuel,90.45,198.0,6566.57,12.99,15,Groundnut Stover from Groundnut often used for biofuel in rural processors
Banana,Banana Stem,Biogas,59.55,169.99,4140.4,8.4,14,Banana Stem from Banana often used for biogas in rural processors
Rice,Rice Husk,Briquettes,91.48,301.39,5367.57,15.34,2,Rice Husk from Rice often used for briquettes in rural processors
Sugarcane,Sugarcane Trash,Biogas,80.34,146.83,3047.53,6.27,16,Sugarcane Trash from Sugarcane often used for biogas in rural processors
Jute,Jute Leaves,Biogas,59.74,175.88,4671.71,11.66,17,Jute Leaves from Jute often used for biogas in rural processors
Wheat,Wheat Straw,Briquettes,71.05,311.46,3161.03,10.69,2,Wheat Straw from Wheat often used for briquettes in rural processors
Banana,Banana Peel,Compost,81.75,146.3,1728.78,1.1,8,Banana Peel from Banana often used for compost in rural processors
Cotton,Cotton Gin Waste,Biochar,74.02,352.02,6288.94,14.06,7,Cotton Gin Waste from Cotton often used for biochar in rural processors
Maize,Maize Cob,Animal Feed,55.9,154.83,4099.61,2.56,14,Maize Cob from Maize often used for animal feed in rural processors
Banana,Banana Peel,Animal Feed,79.17,74.27,3653.95,4.14,5,Banana Peel from Banana often used for animal feed in rural processors
Wheat,Wheat Chaff,Briquettes,76.57,221.19,4364.92,13.71,15,Wheat Chaff from Wheat often used for briquettes in rural processors
Cotton,Cotton Stalk,Biofuel,90.94,285.74,5829.23,16.36,15,Cotton Stalk from Cotton often used for biofuel in rural processors
Rice,Rice Husk,Compost,76.27,162.95,2144.61,2.56,9,Rice Husk from Rice often used for compost in rural processors
Sugarcane,Sugarcane Trash,Biofuel,71.58,242.07,4515.96,14.65,2,Sugarcane Trash from Sugarcane often used for biofuel in rural processors
Cotton,Cotton Gin Waste,Biogas,67.06,146.5,2894.91,7.48,10,Cotton Gin Waste from Cotton often used for biogas in rural processors
Wheat,Wheat Straw,Compost,68.45,157.72,1980.65,1.52,17,Wheat Straw from Wheat often used for compost in rural processors
Cotton,Cotton Gin Waste,Biochar,60.66,228.97,4246.21,10.94,20,Cotton Gin Waste from Cotton often used for biochar in rural processors
Jute,Jute Leaves,Animal Feed,73.58,164.43,2593.9,3.13,16,Jute Leaves from Jute often used for animal feed in rural processors
Maize,Maize Stalk,Briquettes,71.22,183.11,5971.52,17.21,7,Maize Stalk from Maize often used for briquettes in rural processors
Banana,Banana Peel,Animal Feed,71.95,196.72,3059.13,4.62,11,Banana Peel from Banana often used for animal feed in rural processors
Sugarcane,Bagasse,Compost,67.96,81.98,2568.27,0.95,10,Bagasse from Sugarcane often used for compost in rural processors
Wheat,Wheat Straw,Briquettes,83.83,293.69,4963.51,11.26,2,Wheat Straw from Wheat often used for briquettes in rural processors
Maize,Maize Stalk,Biofuel,76.89,130.28,6764.25,11.84,17,Maize Stalk from Maize often used for biofuel in rural processors
Sugarcane,Bagasse,Paper Pulp,82.29,266.7,3955.18,6.46,20,Bagasse from Sugarcane often used for paper pulp in rural processors
Maize,Maize Cob,Briquettes,68.2,241.26,6162.96,17.64,9,Maize Cob from Maize often used for briquettes in rural processors
Groundnut,Groundnut Stover,Paper Pulp,77.43,222.9,5205.89,6.53,3,Groundnut Stover from Groundnut often used for paper pulp in rural processors
Sugarcane,Bagasse,Animal Feed,62.39,81.99,2217.15,4.3,4,Bagasse from Sugarcane often used for animal feed in rural processors
Rice,Paddy Straw,Biofuel,77.16,178.25,3925.9,15.94,11,Paddy Straw from Rice often used for biofuel in rural processors
Cotton,Cotton Stalk,Biogas,82.34,212.51,4115.79,10.51,8,Cotton Stalk from Cotton often used for biogas in rural processors
Groundnut,Groundnut Shell,Briquettes,82.49,285.33,3285.64,19.08,7,Groundnut Shell from Groundnut often used for briquettes in rural processors
Maize,Maize Stalk,Biofuel,68.36,259.95,6770.7,16.89,18,Maize Stalk from Maize often used for biofuel in rural processors
Cotton,Cotton Gin Waste,Biofuel,81.15,266.91,5414.85,18.89,2,Cotton Gin Waste from Cotton often used for biofuel in rural processors
Sugarcane,Bagasse,Animal Feed,84.26,193.11,4198.97,3.88,10,Bagasse from Sugarcane often used for animal feed in rural processors
Wheat,Wheat Straw,Biofuel,79.01,175.63,6987.78,14.42,15,Wheat Straw from Wheat often used for biofuel in rural processors
Cotton,Cotton Stalk,Biofuel,74.39,254.03,6430.93,13.33,12,Cotton Stalk from Cotton often used for biofuel in rural processors
Groundnut,Groundnut Stover,Compost,83.19,186.47,1573.39,1.5,4,Groundnut Stover from Groundnut often used for compost in rural processors
Jute,Jute Leaves,Biogas,54.06,255.68,4639.77,10.41,2,Jute Leaves from Jute often used for biogas in rural processors
Cotton,Cotton Gin Waste,Biofuel,70.06,271.29,5501.63,13.62,3,Cotton Gin Waste from Cotton often used for biofuel in rural processors
Banana,Banana Stem,Biogas,82.47,225.69,2388.56,8.07,9,Banana Stem from Banana often used for biogas in rural processors
Rice,Rice Husk,Biofuel,79.91,318.45,6651.72,10.93,16,Rice Husk from Rice often used for biofuel in rural processors
Sugarcane,Bagasse,Paper Pulp,93.32,269.92,4746.47,4.75,17,Bagasse from Sugarcane often used for paper pulp in rural processors
Cotton,Cotton Stalk,Biofuel,79.88,304.37,5032.96,13.84,6,Cotton Stalk from Cotton often used for biofuel in rural processors
Sugarcane,Sugarcane Trash,Biofuel,74.18,173.43,3010.26,17.88,11,Sugarcane Trash from Sugarcane often used for biofuel in rural processors
Cotton,Cotton Stalk,Biofuel,79.54,230.38,5173.72,13.45,16,Cotton Stalk from Cotton often used for biofuel in rural processors
Jute,Jute Stick,Animal Feed,63.36,179.84,2785.86,2.91,12,Jute Stick from Jute often used for animal feed in rural processors
Cotton,Cotton Gin Waste,Paper Pulp,94.71,260.84,3956.32,7.75,3,Cotton Gin Waste from Cotton often used for paper pulp in rural processors
Rice,Rice Husk,Biofuel,88.6,225.19,4827.71,14.4,6,Rice Husk from Rice often used for biofuel in rural processors
Groundnut,Groundnut Shell,Biofuel,77.68,187.71,5770.82,19.69,4,Groundnut Shell from Groundnut often used for biofuel in rural processors
Jute,Jute Leaves,Biogas,71.94,187.83,3731.25,11.21,4,Jute Leaves from Jute often used for biogas in rural processors
Banana,Banana Stem,Biogas,76.14,117.72,4027.99,8.04,5,Banana Stem from Banana often used for biogas in rural processors
Cotton,Cotton Stalk,Briquettes,89.39,279.23,4173.47,10.46,13,Cotton Stalk from Cotton often used for briquettes in rural processors
Groundnut,Groundnut Shell,Briquettes,79.34,278.5,3679.93,15.66,4,Groundnut Shell from Groundnut often used for briquettes in rural processors
Groundnut,Groundnut Shell,Compost,91.95,144.56,2007.95,0.86,10,Groundnut Shell from Groundnut often used for compost in rural processors
Wheat,Wheat Chaff,Compost,83.72,141.84,2191.13,0.89,20,Wheat Chaff from Wheat often used for compost in rural processors
Maize,Maize Stalk,Briquettes,77.33,319.87,6413.34,13.02,5,Maize Stalk from Maize often used for briquettes in rural processors
Banana,Banana Stem,Briquettes,80.52,179.05,6911.78,19.93,14,Banana Stem from Banana often used for briquettes in rural processors
Maize,Maize Cob,Animal Feed,85.28,196.3,3985.48,4.89,17,Maize Cob from Maize often used for animal feed in rural processors
Maize,Maize Cob,Animal Feed,83.07,86.62,2401.5,2.1,6,Maize Cob from Maize often used for animal feed in rural processors
Sugarcane,Bagasse,Compost,87.6,131.08,1762.82,0.58,11,Bagasse from Sugarcane often used for compost in rural processors
Jute,Jute Leaves,Compost,67.03,202.7,2231.72,2.47,18,Jute Leaves from Jute often used for compost in rural processors
Maize,Maize Cob,Biofuel,89.68,313.48,4180.57,19.44,12,Maize Cob from Maize often used for biofuel in rural processors
Sugarcane,Sugarcane Trash,Compost,64.93,200.42,2948.43,2.92,14,Sugarcane Trash from Sugarcane often used for compost in rural processors
Jute,Jute Stick,Biochar,74.99,167.19,4784.92,10.64,10,Jute Stick from Jute often used for biochar in rural processors
Groundnut,Groundnut Stover,Biofuel,83.22,243.91,6772.68,14.71,12,Groundnut Stover from Groundnut often used for biofuel in rural processors
Banana,Banana Peel,Animal Feed,83.83,102.31,2779.91,5.55,6,Banana Peel from Banana often used for animal feed in rural processors
Wheat,Wheat Straw,Briquettes,91.89,166.96,5150.19,11.16,14,Wheat Straw from Wheat often used for briquettes in rural processors
Cotton,Cotton Gin Waste,Animal Feed,88.23,135.63,3209.62,4.48,6,Cotton Gin Waste from Cotton often used for animal feed in rural processors
Groundnut,Groundnut Shell,Compost,81.55,119.16,2880.56,2.85,8,Groundnut Shell from Groundnut often used for compost in rural processors
Cotton,Cotton Gin Waste,Biogas,79.94,223.42,3742.29,5.7,13,Cotton Gin Waste from Cotton often used for biogas in rural processors
Wheat,Wheat Chaff,Compost,66.64,198.72,2409.43,0.81,8,Wheat Chaff from Wheat often used for compost in rural processors
Wheat,Wheat Straw,Briquettes,71.58,232.92,3274.44,11.26,19,Wheat Straw from Wheat often used for briquettes in rural processors
Banana,Banana Peel,Compost,71.5,206.07,1505.67,0.87,6,Banana Peel from Banana often used for compost in rural processors
Rice,Rice Husk,Briquettes,67.97,146.36,4432.97,18.66,9,Rice Husk from Rice often used for briquettes in rural processors
Jute,Jute Stick,Biogas,59.29,175.77,2363.68,5.89,4,Jute Stick from Jute often used for biogas in rural processors
Cotton,Cotton Gin Waste,Biochar,73.76,239.44,4152.66,13.94,3,Cotton Gin Waste from Cotton often used for biochar in rural processors
Maize,Maize Stalk,Compost,62.13,136.23,2872.19,1.7,17,Maize Stalk from Maize often used for compost in rural processors
Cotton,Cotton Stalk,Compost,71.27,97.67,2748.63,0.87,20,Cotton Stalk from Cotton often used for compost in rural processors
Jute,Jute Leaves,Animal Feed,73.57,144.76,2038.03,3.27,5,Jute Leaves from Jute often used for animal feed in rural processors
Banana,Banana Stem,Biofuel,88.98,285.48,4594.92,14.14,5,Banana Stem from Banana often used for biofuel in rural processors
Jute,Jute Leaves,Biogas,73.28,127.48,4953.55,7.62,4,Jute Leaves from Jute often used for biogas in rural processors
Sugarcane,Bagasse,Biofuel,76.66,194.53,3520.46,17.45,3,Bagasse from Sugarcane often used for biofuel in rural processors
Jute,Jute Stick,Paper Pulp,78.84,277.55,6104.28,6.99,3,Jute Stick from Jute often used for paper pulp in rural processors
Maize,Maize Stalk,Briquettes,67.8,150.95,4928.76,15.07,5,Maize Stalk from Maize often used for briquettes in rural processors
Jute,Jute Leaves,Compost,86.69,193.01,3190.31,1.94,19,Jute Leaves from Jute often used for compost in rural processors
Wheat,Wheat Chaff,Biofuel,69.87,181.8,4359.3,17.03,2,Wheat Chaff from Wheat often used for biofuel in rural processors
Rice,Paddy Straw,Biofuel,66.88,314.36,3367.03,17.41,18,Paddy Straw from Rice often used for biofuel in rural processors
Banana,Banana Stem,Biofuel,77.25,182.33,4297.53,11.57,20,Banana Stem from Banana often used for biofuel in rural processors
Sugarcane,Bagasse,Biogas,55.51,221.31,2870.73,9.32,15,Bagasse from Sugarcane often used for biogas in rural processors
Cotton,Cotton Gin Waste,Paper Pulp,76.83,169.35,4789.74,7.53,11,Cotton Gin Waste from Cotton often used for paper pulp in rural processors
Cotton,Cotton Gin Waste,Biofuel,70.95,130.96,3817.69,19.84,8,Cotton Gin Waste from Cotton often used for biofuel in rural processors
Rice,Rice Husk,Biochar,72.47,304.34,3955.49,8.08,14,Rice Husk from Rice often used for biochar in rural processors
Banana,Banana Stem,Compost,73.9,141.07,2419.51,2.36,4,Banana Stem from Banana often used for compost in rural processors
Jute,Jute Leaves,Animal Feed,69.15,100.53,2772.08,4.2,12,Jute Leaves from Jute often used for animal feed in rural processors
Rice,Rice Husk,Biochar,63.35,193.53,5732.15,16.44,18,Rice Husk from Rice often used for biochar in rural processors
Sugarcane,Sugarcane Trash,Briquettes,85.14,275.82,3305.52,12.22,5,Sugarcane Trash from Sugarcane often used for briquettes in rural processors
Banana,Banana Stem,Briquettes,84.64,283.01,3945.08,18.19,6,Banana Stem from Banana often used for briquettes in rural processors
Maize,Maize Cob,Briquettes,81.26,251.1,3708.58,17.6,17,Maize Cob from Maize often used for briquettes in rural processors
